IRI_Week,date_min,date_max,Date_Year,Date_Month
1583,2010-01-01 00:00:00,2010-01-03 00:00:00,2010,1
1584,2010-01-04 00:00:00,2010-01-10 00:00:00,2010,1
1585,2010-01-11 00:00:00,2010-01-17 00:00:00,2010,1
1586,2010-01-18 00:00:00,2010-01-24 00:00:00,2010,1
1587,2010-01-25 00:00:00,2010-01-31 00:00:00,2010,1
1588,2010-02-01 00:00:00,2010-02-07 00:00:00,2010,2
1589,2010-02-08 00:00:00,2010-02-14 00:00:00,2010,2
1590,2010-02-15 00:00:00,2010-02-21 00:00:00,2010,2
1591,2010-02-22 00:00:00,2010-02-28 00:00:00,2010,2
1592,2010-03-01 00:00:00,2010-03-07 00:00:00,2010,3
1593,2010-03-08 00:00:00,2010-03-14 00:00:00,2010,3
1594,2010-03-15 00:00:00,2010-03-21 00:00:00,2010,3
1595,2010-03-22 00:00:00,2010-03-28 00:00:00,2010,3
1596,2010-03-29 00:00:00,2010-04-04 00:00:00,2010,4
1597,2010-04-05 00:00:00,2010-04-11 00:00:00,2010,4
1598,2010-04-12 00:00:00,2010-04-18 00:00:00,2010,4
1599,2010-04-19 00:00:00,2010-04-25 00:00:00,2010,4
1600,2010-04-26 00:00:00,2010-05-02 00:00:00,2010,5
1601,2010-05-03 00:00:00,2010-05-09 00:00:00,2010,5
1602,2010-05-10 00:00:00,2010-05-16 00:00:00,2010,5
1603,2010-05-17 00:00:00,2010-05-23 00:00:00,2010,5
1604,2010-05-24 00:00:00,2010-05-30 00:00:00,2010,5
1605,2010-05-31 00:00:00,2010-06-06 00:00:00,2010,6
1606,2010-06-07 00:00:00,2010-06-13 00:00:00,2010,6
1607,2010-06-14 00:00:00,2010-06-20 00:00:00,2010,6
1608,2010-06-21 00:00:00,2010-06-27 00:00:00,2010,6
1609,2010-06-28 00:00:00,2010-07-04 00:00:00,2010,7
1610,2010-07-05 00:00:00,2010-07-11 00:00:00,2010,7
1611,2010-07-12 00:00:00,2010-07-18 00:00:00,2010,7
1612,2010-07-19 00:00:00,2010-07-25 00:00:00,2010,7
1613,2010-07-26 00:00:00,2010-08-01 00:00:00,2010,8
1614,2010-08-02 00:00:00,2010-08-08 00:00:00,2010,8
1615,2010-08-09 00:00:00,2010-08-15 00:00:00,2010,8
1616,2010-08-16 00:00:00,2010-08-22 00:00:00,2010,8
1617,2010-08-23 00:00:00,2010-08-29 00:00:00,2010,8
1618,2010-08-30 00:00:00,2010-09-05 00:00:00,2010,9
1619,2010-09-06 00:00:00,2010-09-12 00:00:00,2010,9
1620,2010-09-13 00:00:00,2010-09-19 00:00:00,2010,9
1621,2010-09-20 00:00:00,2010-09-26 00:00:00,2010,9
1622,2010-09-27 00:00:00,2010-10-03 00:00:00,2010,10
1623,2010-10-04 00:00:00,2010-10-10 00:00:00,2010,10
1624,2010-10-11 00:00:00,2010-10-17 00:00:00,2010,10
1625,2010-10-18 00:00:00,2010-10-24 00:00:00,2010,10
1626,2010-10-25 00:00:00,2010-10-31 00:00:00,2010,10
1627,2010-11-01 00:00:00,2010-11-07 00:00:00,2010,11
1628,2010-11-08 00:00:00,2010-11-14 00:00:00,2010,11
1629,2010-11-15 00:00:00,2010-11-21 00:00:00,2010,11
1630,2010-11-22 00:00:00,2010-11-28 00:00:00,2010,11
1631,2010-11-29 00:00:00,2010-12-05 00:00:00,2010,12
1632,2010-12-06 00:00:00,2010-12-12 00:00:00,2010,12
1633,2010-12-13 00:00:00,2010-12-19 00:00:00,2010,12
1634,2010-12-20 00:00:00,2010-12-26 00:00:00,2010,12
1635,2010-12-27 00:00:00,2011-01-02 00:00:00,2011,1
1636,2011-01-03 00:00:00,2011-01-09 00:00:00,2011,1
1637,2011-01-10 00:00:00,2011-01-16 00:00:00,2011,1
1638,2011-01-17 00:00:00,2011-01-23 00:00:00,2011,1
1639,2011-01-24 00:00:00,2011-01-30 00:00:00,2011,1
1640,2011-01-31 00:00:00,2011-02-06 00:00:00,2011,2
1641,2011-02-07 00:00:00,2011-02-13 00:00:00,2011,2
1642,2011-02-14 00:00:00,2011-02-20 00:00:00,2011,2
1643,2011-02-21 00:00:00,2011-02-27 00:00:00,2011,2
1644,2011-02-28 00:00:00,2011-03-06 00:00:00,2011,3
1645,2011-03-07 00:00:00,2011-03-13 00:00:00,2011,3
1646,2011-03-14 00:00:00,2011-03-20 00:00:00,2011,3
1647,2011-03-21 00:00:00,2011-03-27 00:00:00,2011,3
1648,2011-03-28 00:00:00,2011-04-03 00:00:00,2011,4
1649,2011-04-04 00:00:00,2011-04-10 00:00:00,2011,4
1650,2011-04-11 00:00:00,2011-04-17 00:00:00,2011,4
1651,2011-04-18 00:00:00,2011-04-24 00:00:00,2011,4
1652,2011-04-25 00:00:00,2011-05-01 00:00:00,2011,5
1653,2011-05-02 00:00:00,2011-05-08 00:00:00,2011,5
1654,2011-05-09 00:00:00,2011-05-15 00:00:00,2011,5
1655,2011-05-16 00:00:00,2011-05-22 00:00:00,2011,5
1656,2011-05-23 00:00:00,2011-05-29 00:00:00,2011,5
1657,2011-05-30 00:00:00,2011-06-05 00:00:00,2011,6
1658,2011-06-06 00:00:00,2011-06-12 00:00:00,2011,6
1659,2011-06-13 00:00:00,2011-06-19 00:00:00,2011,6
1660,2011-06-20 00:00:00,2011-06-26 00:00:00,2011,6
1661,2011-06-27 00:00:00,2011-07-03 00:00:00,2011,7
1662,2011-07-04 00:00:00,2011-07-10 00:00:00,2011,7
1663,2011-07-11 00:00:00,2011-07-17 00:00:00,2011,7
1664,2011-07-18 00:00:00,2011-07-24 00:00:00,2011,7
1665,2011-07-25 00:00:00,2011-07-31 00:00:00,2011,7
1666,2011-08-01 00:00:00,2011-08-07 00:00:00,2011,8
1667,2011-08-08 00:00:00,2011-08-14 00:00:00,2011,8
1668,2011-08-15 00:00:00,2011-08-21 00:00:00,2011,8
1669,2011-08-22 00:00:00,2011-08-28 00:00:00,2011,8
1670,2011-08-29 00:00:00,2011-09-04 00:00:00,2011,9
1671,2011-09-05 00:00:00,2011-09-11 00:00:00,2011,9
1672,2011-09-12 00:00:00,2011-09-18 00:00:00,2011,9
1673,2011-09-19 00:00:00,2011-09-25 00:00:00,2011,9
1674,2011-09-26 00:00:00,2011-10-02 00:00:00,2011,10
1675,2011-10-03 00:00:00,2011-10-09 00:00:00,2011,10
1676,2011-10-10 00:00:00,2011-10-16 00:00:00,2011,10
1677,2011-10-17 00:00:00,2011-10-23 00:00:00,2011,10
1678,2011-10-24 00:00:00,2011-10-30 00:00:00,2011,10
1679,2011-10-31 00:00:00,2011-11-06 00:00:00,2011,11
1680,2011-11-07 00:00:00,2011-11-13 00:00:00,2011,11
1681,2011-11-14 00:00:00,2011-11-20 00:00:00,2011,11
1682,2011-11-21 00:00:00,2011-11-27 00:00:00,2011,11
1683,2011-11-28 00:00:00,2011-12-04 00:00:00,2011,12
1684,2011-12-05 00:00:00,2011-12-11 00:00:00,2011,12
1685,2011-12-12 00:00:00,2011-12-18 00:00:00,2011,12
1686,2011-12-19 00:00:00,2011-12-25 00:00:00,2011,12
1687,2011-12-26 00:00:00,2011-12-31 00:00:00,2011,12
