WBAN,YYYYMMDD,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
23174,20100101,69," ",50," ",60," "," 3"," ",37," ",49," ",5," ",0," ",0659," ",1655," "," "," ",M," ",M," ",M," ",0.00," ",29.83," ",30.17," ",2.9," ",31," ",4.6," ",26," ",300," ",18," ",310," "
23174,20100102,76," ",55," ",66," "," 9"," ",33," ",50," ",0," ",1," ",0659," ",1656," "," "," ",M," ",M," ",M," ",0.00," ",29.70," ",30.04," ",1.8," ",34," ",6.2," ",22," ",280," ",17," ",280," "
23174,20100103,80," ",52," ",66," "," 9"," ",24," ",47," ",0," ",1," ",0659," ",1656," "," "," ",M," ",M," ",M," ",0.00," ",29.70," ",30.05," ",4," ",3," ",5.2," ",17," ",350," ",12," ",40," "
23174,20100104,75," ",53," ",64," "," 7"," ",28," ",47," ",1," ",0," ",0659," ",1657," "," "," ",M," ",M," ",M," ",0.00," ",29.71," ",30.05," ",2.6," ",36," ",6," ",16," ",280," ",13," ",270," "
23174,20100105,76," ",52," ",64," "," 7"," ",33," ",48," ",1," ",0," ",0659," ",1658," "," "," ",M," ",M," ",M," ",0.00," ",29.70," ",30.05," ",1.4," ",29," ",4.3," ",21," ",280," ",17," ",270," "
23174,20100106,73," ",51," ",62," "," 5"," ",41," ",51," ",3," ",0," ",0659," ",1659," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.02," ",0.9," ",27," ",3.4," ",16," ",280," ",13," ",270," "
23174,20100107,67," ",48," ",58," "," 1"," ",46," ",50," ",7," ",0," ",0659," ",1660," ","FG+ FG BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.65," ",30," ",1.7," ",28," ",4.2," ",15," ",290," ",13," ",270," "
23174,20100108,77," ",50," ",64," "," 7"," ",45," ",53," ",1," ",0," ",0659," ",1700," ","BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.73," ",30.08," ",1.6," ",28," ",4.2," ",15," ",290," ",12," ",260," "
23174,20100109,75," ",57," ",66," "," 9"," ",37," ",51," ",0," ",1," ",0659," ",1701," "," "," ",M," ",M," ",M," ",0.00," ",29.77," ",30.11," ",4," ",36," ",6.7," ",18," ",10," ",13," ",290," "
23174,20100110,74," ",52," ",63," "," 6"," ",43," ",52," ",2," ",0," ",0659," ",1702," "," "," ",M," ",M," ",M," ",0.00," ",29.75," ",30.09," ",1.5," ",26," ",4.5," ",17," ",270," ",15," ",270," "
23174,20100111,77," ",50," ",64," "," 7"," ",45," ",53," ",1," ",0," ",0659," ",1703," ",BCFG," ",M," ",M," ",M," ",0.00," ",29.77," ",30.11," ",2.2," ",26," ",4," ",17," ",260," ",14," ",260," "
23174,20100112,66," ",52," ",59," "," 2"," ",52," ",54," ",6," ",0," ",0659," ",1704," ","FG+ FG BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.79," ",30.14," ",5," ",27," ",5.1," ",16," ",280," ",12," ",270," "
23174,20100113,63," ",53," ",58," "," 1"," ",48," ",53," ",7," ",0," ",0659," ",1705," ","RA BR HZ"," ",M," ",M," ",M," ",0.13," ",29.77," ",30.12," ",4.4," ",28," ",8.2," ",32," ",350," ",21," ",260," "
23174,20100114,71," ",50," ",61," "," 4"," ",35," ",49," ",4," ",0," ",0659," ",1706," ",BCFG," ",M," ",M," ",M," ",0.00," ",29.78," ",30.13," ",2.2," ",35," ",5.8," ",28," ",320," ",18," ",340," "
23174,20100115,73," ",50," ",62," "," 5"," ",33," ",48," ",3," ",0," ",0659," ",1707," "," "," ",M," ",M," ",M," ",0.00," ",29.78," ",30.13," ",1.4," ",28," ",3.7," ",15," ",280," ",10," ",280," "
23174,20100116,68," ",53," ",61," "," 4"," ",41," ",51," ",4," ",0," ",0658," ",1708," "," "," ",M," ",M," ",M," ",0.00," ",29.65," ",29.99," ",1.5," ",26," ",3.8," ",16," ",260," ",14," ",250," "
23174,20100117,63," ",52," ",58," "," 1"," ",49," ",53," ",7," ",0," ",0658," ",1709," ","RA BR"," ",M," ",M," ",M," ",0.26," ",29.62," ",29.97," ",2.7," ",11," ",4.7," ",15," ",90," ",13," ",100," "
23174,20100118,62," ",53," ",58," "," 1"," ",53," ",55," ",7," ",0," ",0658," ",1709," ","RA BR"," ",M," ",M," ",M," ",0.75," ",29.47," ",29.81," ",6.2," ",18," ",11.6," ",38," ",160," ",28," ",160," "
23174,20100119,59," ",50," ",55," ",-2," ",48," ",51," ",10," ",0," ",0657," ",1710," ","TSRA RA BR"," ",M," ",M," ",M," ",0.66," ",29.36," ",29.7," ",0.8," ",28," ",10.4," ",39," ",270," ",33," ",270," "
23174,20100120,58," ",50," ",54," ",-3," ",48," ",50," ",11," ",0," ",0657," ",1711," ","RA BR"," ",M," ",M," ",M," ",1.13," ",29.23," ",29.6," ",6.8," ",12," ",8.5," ",30," ",160," ",23," ",160," "
23174,20100121,58," ",50," ",54," ",-3," ",47," ",50," ",11," ",0," ",0657," ",1712," ","TS RA DZ BR"," ",M," ",M," ",M," ",0.73," ",28.89," ",29.23," ",6.3," ",23," ",16.1," ",44," ",250," ",31," ",250," "
23174,20100122,54," ",47," ",51," ",-6," ",43," ",47," ",14," ",0," ",0656," ",1713," ",RA," ",M," ",M," ",M," ",0.48," ",29.20," ",29.53," ",0.9," ",33," ",7.5," ",31," ",270," ",25," ",270," "
23174,20100123,58," ",43," ",51," ",-6," ",41," ",46," ",14," ",0," ",0656," ",1714," "," "," ",M," ",M," ",M," ",0.00," ",29.67," ",30.01," ",1.5," ",30," ",5.7," ",17," ",290," ",13," ",280," "
23174,20100124,60," ",44," ",52," ",-5," ",42," ",47," ",13," ",0," ",0655," ",1715," "," "," ",M," ",M," ",M," ",0.00," ",29.82," ",30.17," ",2.3," ",30," ",5.9," ",20," ",280," ",16," ",270," "
23174,20100125,64," ",44," ",54," ",-3," ",43," ",49," ",11," ",0," ",0655," ",1716," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.04," ",3.3," ",28," ",5.3," ",25," ",280," ",22," ",280," "
23174,20100126,58," ",47," ",53," ",-4," ",45," ",49," ",12," ",0," ",0654," ",1717," ",RA," ",M," ",M," ",M," ",0.16," ",29.58," ",29.92," ",3.5," ",7," ",5.4," ",25," ",360," ",17," ",70," "
23174,20100127,66," ",53," ",60," "," 3"," ",46," ",52," ",5," ",0," ",0654," ",1718," "," "," ",M," ",M," ",M," ",0.00," ",29.55," ",29.9," ",2.5," ",27," ",6," ",23," ",260," ",20," ",260," "
23174,20100128,67," ",46," ",57," ",-1," ",45," ",51," ",8," ",0," ",0653," ",1719," "," "," ",M," ",M," ",M," ",0.00," ",29.65," ",29.99," ",2.3," ",24," ",4.6," ",17," ",220," ",13," ",240," "
23174,20100129,64," ",49," ",57," ",-1," ",47," ",52," ",8," ",0," ",0653," ",1720," "," "," ",M," ",M," ",M," ",0.00," ",29.69," ",30.03," ",1.6," ",24," ",4.6," ",17," ",260," ",15," ",260," "
23174,20100130,59," ",48," ",54," ",-4," ",48," ",51," ",11," ",0," ",0652," ",1721," ",HZ," ",M," ",M," ",M," ",0.00," ",29.62," ",29.97," ",4.4," ",26," ",5.4," ",18," ",270," ",15," ",260," "
23174,20100131,62," ",46," ",54," ",-4," ",47," ",51," ",11," ",0," ",0651," ",1722," ","BR HZ"," ",M," ",M," ",M," ",0.00," ",29.59," ",29.95," ",1.3," ",25," ",5.3," ",18," ",270," ",14," ",270," "
94846,20100101,16," ",5," ",11," ",-12," ",3," ",9," ",54," ",0," ",0720," ",1631," "," "," ",2," ",M," ","  T"," ","  T"," ",29.57," ",30.33," ",10.4," ",30," ",10.2," ",20," ",320," ",15," ",320," "
94846,20100102,11," ",2," ",7," ",-16," ",-3," ",4," ",58," ",0," ",0720," ",1632," "," "," ",M," ",M," ",M," ",0.00," ",29.67," ",30.45," ",11.6," ",32," ",11.9," ",22," ",330," ",18," ",340," "
94846,20100103,18," ",-1," ",9," ",-14," ",1," ",7," ",56," ",0," ",0720," ",1633," ",SN," ",M," ",M," ",M," ","  T"," ",29.65," ",30.44," ",10.1," ",32," ",10.3," ",20," ",340," ",16," ",330," "
94846,20100104,18," ",7," ",13," ",-9," ",6," ",12," ",52," ",0," ",0720," ",1634," ",SN," ",M," ",M," ",M," ","  T"," ",29.50," ",30.3," ",11.1," ",31," ",11.3," ",22," ",360," ",17," ",310," "
